order_id,order_date,shipping_date,scheduled_shipping_days,actual_shipping_days,shipping_mode,carrier_name,customer_id,customer_segment,market,order_region,order_country,category_name,product_name,order_item_quantity,sales,discount,profit,late_delivery
10000,2025-11-02,2025-11-02,2,0,First Class,SwiftShip Express,1494,Corporate,USCA,West of USA,United States,Health & Beauty,Vitamin C Serum,2,77.8,0.05,31.0,0
10001,2024-01-14,2024-01-22,6,8,Standard Class,Pacific Crest Carriers,1084,Consumer,Pacific Asia,Southeast Asia,Vietnam,Health & Beauty,Vitamin C Serum,3,99.03,0.05,22.88,1
10002,2025-09-16,2025-09-19,4,3,Second Class,NordHaul Logistics,2568,Consumer,Europe,Southern Europe,Italy,Office Supplies,Whiteboard Marker Set,3,145.32,0.04,20.37,0
10003,2025-07-21,2025-07-25,6,4,Standard Class,Atlas Freight Co.,2707,Consumer,LATAM,South America,Chile,Footwear,Court Sneakers,1,119.78,0.16,28.06,0
10004,2025-08-02,2025-08-06,6,4,Standard Class,Atlas Freight Co.,2931,Corporate,Pacific Asia,Oceania,New Zealand,Toys & Games,1000-Piece Jigsaw Puzzle,5,274.93,0.15,10.9,0
10005,2024-04-28,2024-05-02,6,4,Standard Class,Atlas Freight Co.,3376,Home Office,USCA,East of USA,United States,Electronics,Portable Bluetooth Speaker,3,839.07,0.04,88.52,0
10006,2025-10-05,2025-10-11,6,6,Standard Class,Atlas Freight Co.,2243,Consumer,Pacific Asia,South Asia,Pakistan,Furniture,Ergonomic Office Chair,1,471.17,0.15,5.45,0
10007,2025-03-13,2025-03-13,1,0,Same Day,NordHaul Logistics,3072,Consumer,Europe,Southern Europe,Portugal,Toys & Games,1000-Piece Jigsaw Puzzle,1,70.56,0.2,19.11,0
10008,2024-10-20,2024-10-24,6,4,Standard Class,Atlas Freight Co.,2790,Corporate,Pacific Asia,Southeast Asia,Vietnam,Automotive Parts,OBD-II Diagnostic Scanner,4,710.33,0.04,-16.01,0
10009,2025-05-12,2025-05-18,6,6,Standard Class,NordHaul Logistics,1692,Consumer,USCA,East of USA,United States,Garden & Outdoor,Expandable Garden Hose,5,582.1,0.05,27.55,0
10010,2024-09-06,2024-09-10,6,4,Standard Class,Atlas Freight Co.,3112,Consumer,USCA,Canada,Canada,Automotive Parts,Ceramic Brake Pad Set,4,569.24,0.06,109.93,0
10011,2024-07-22,2024-07-26,6,4,Standard Class,Atlas Freight Co.,1133,Consumer,Pacific Asia,Eastern Asia,China,Health & Beauty,Vitamin C Serum,2,70.87,0.17,-20.17,0
10012,2024-07-29,2024-08-03,6,5,Standard Class,NordHaul Logistics,2497,Corporate,Europe,Southern Europe,Italy,Garden & Outdoor,Patio Heater,3,367.32,0.22,-0.63,0
10013,2025-02-19,2025-02-24,6,5,Standard Class,NordHaul Logistics,3350,Consumer,Europe,Northern Europe,Norway,Electronics,4K Action Camera,2,791.44,0.01,-17.86,0
10014,2025-03-14,2025-03-18,6,4,Standard Class,Atlas Freight Co.,2647,Corporate,Africa,East Africa,Tanzania,Toys & Games,RC Off-Road Buggy,1,51.58,0.21,7.85,0
10015,2024-06-24,2024-06-28,6,4,Standard Class,Atlas Freight Co.,3342,Corporate,LATAM,Central America,Mexico,Sporting Goods,Insulated Hydration Pack,5,937.4,0.1,140.26,0
10016,2024-06-28,2024-07-02,6,4,Standard Class,Atlas Freight Co.,1140,Consumer,USCA,Canada,Canada,Toys & Games,Strategy Board Game,1,61.65,0.21,27.04,0
10017,2025-11-21,2025-11-23,1,2,Same Day,SwiftShip Express,2331,Consumer,LATAM,Caribbean,Jamaica,Electronics,Wireless Earbuds Pro,3,1078.99,0.21,-29.86,1
